station_id,label,alt,river_id,river_label,mean_nitrate,lat,lon
6000990,BELRUPT,292,U---0000,La Saône,4.513698630136986,48.090273327987276,6.101940890815991
6000998,MONTHUREUX-SUR-SAONE 2,241,U---0000,La Saône,6.428571428571429,48.01825125838868,5.941492053405311
6000993,JONVELLE,230,U---0000,La Saône,9.433333333333334,47.93638044949666,5.923536232871648
6001000,CENDRECOURT,213,U---0000,La Saône,9.233333333333333,47.84026083741255,5.917378095285407
6003600,SCEY-SUR-SAONE-ET-ST-ALBI,210,U---0000,La Saône,8.421518987341772,47.661731120409826,5.972459738821173
6002500,PORT-SUR-SAONE,208,U---0000,La Saône,7.489473684210527,47.69107833426886,6.039291564176292
6005500,APREMONT 1,190,U---0000,La Saône,10.553020134228188,47.39571566626848,5.544088676925676
6011000,AUXONNE 1,185,U---0000,La Saône,10.828666666666669,47.194519280308995,5.382571963766932
6017050,CHARREY-SUR-SAONE,180,U---0000,La Saône,10.831410256410257,47.07369860831355,5.165636185828038
6017070,SEURRE,179,U---0000,La Saône,10.799342105263158,46.996924100012116,5.143535237908081
6039500,OUROUX-SUR-SAONE,175,U---0000,La Saône,8.546308724832215,46.71096442849778,4.932135858552662
6037400,GERGY,173,U---0000,La Saône,8.671333333333333,46.878985499448895,4.95545758641089
6053800,ST-BERNARD,170,U---0000,La Saône,8.767105263157895,45.94411368108925,4.728940625602998
6045800,FLEURVILLE,170,U---0000,La Saône,8.577181208053691,46.44779717625807,4.896612600024577
6810010,ST-SYMPHORIEN-D'ANCELLES,168,U---0000,La Saône,8.46887417218543,46.18787308946925,4.780200879945488
6059500,LYON 1,164,U---0000,La Saône,8.835947712418301,45.79653877103179,4.831905651439411
